,user,text,favorite_count,retweet_count,created_at
31,F1,"It seems George Russell won everything at the weekend! 😃

Including having the fastest reaction time off the line ⏱ 

#BrazilGP #F1Insights @awscloud https://t.co/krrwGCgXLI",6342,307,2022-11-14 20:00:01+00:00
32,F1,"“If Saturday was a low point in our season, Sunday is certainly up there as a high""

Fernando Alonso looks back on the roller-coaster weekend in his penultimate outing with @AlpineF1Team 

#BrazilGP #F1 

https://t.co/piUS4TrCID",1974,66,2022-11-14 19:31:00+00:00
33,F1,"Charles or Checo? 

Who you backing to win this race? ✍️

#AbuDhabiGP #F1 https://t.co/oiTbRLo3rl",51147,2574,2022-11-14 18:45:00+00:00
34,F1,"A brilliant display of wheel-to-wheel racing from Lewis and Checo ⚔️

#BrazilGP #F1 https://t.co/6e6TaRQx35",5020,311,2022-11-14 17:47:00+00:00
35,F1,"From a low... to the ultimate high ❤️

#F1 @GeorgeRussell63 https://t.co/Z3eBYp0RuO",11890,629,2022-11-14 16:38:00+00:00
36,F1,"🗓 #OnThisDay 

Twelve years ago, Sebastian Vettel won his first world title 👑

This Sunday he bids farewell to F1 at the same track 😢

#AbuDhabiGP #F1 https://t.co/RLuHjBAQYr",13168,1864,2022-11-14 15:43:00+00:00
37,F1,"Two overtakes for the price of one for Max ✌️

#BrazilGP #F1 https://t.co/gmXeEvA1M8",4765,290,2022-11-14 15:05:00+00:00
38,F1,"“The team never stopped believing""

Toto Wolff praises the fighting spirit of @MercedesAMGF1 after claiming first win of the season at Interlagos 👏

#BrazilGP #F1 

https://t.co/niB4pp7Ino",2139,104,2022-11-14 14:22:00+00:00
39,F1,"""Time flies... you need to make the most of every single moment""

#BrazilGP @GeorgeRussell63 https://t.co/GQWgP1RbCl",11755,889,2022-11-14 13:52:43+00:00
40,F1,"“Checo deserves that second place... we will do our very best to support that, to achieve that in Abu Dhabi” - Christian Horner 

The Red Bull boss reacts to the team orders controversy at Interlagos

#BrazilGP #F1  

https://t.co/AmGXHbEUs6",11101,494,2022-11-14 12:47:00+00:00
41,F1,"Fernando Alonso did not hold back on his way to fifth! 🚀

#BrazilGP #F1 https://t.co/Ers1mfKlRM",5318,381,2022-11-14 12:10:00+00:00
42,F1,"POV: You're @GeorgeRussell63's first beverage as a Grand Prix winner 🍾

#BrazilGP #F1 @FerrariTrento https://t.co/cxP3fc3YTe",6844,456,2022-11-14 11:20:00+00:00
43,F1,"A challenging day in Sao Paulo for Max

#BrazilGP #F1 

https://t.co/8TtFqc3GUm",1732,63,2022-11-14 10:35:00+00:00
44,F1,"¡Vamos Carlos! 🌶️

@Carlossainz55 claimed his 15th podium after this move on Sergio Perez in Brazil

#BrazilGP #F1 https://t.co/Y2Gw1wXRAa",3770,273,2022-11-14 10:15:00+00:00
45,F1,"One final time in 2022... It's race week!

#BrazilGP 👉 #AbuDhabiGP https://t.co/MQu3nYsE62",30640,2592,2022-11-14 09:40:00+00:00
46,F1,"At long last, the sweet taste of victory for @MercedesAMGF1 in 2022 🤩

#BrazilGP #F1 https://t.co/xu9vc2GDi0",9315,582,2022-11-14 09:07:00+00:00
47,F1,"There was action in Brazil from the very first lap! 

#BrazilGP #F1 https://t.co/pMHdPX32KB",3495,238,2022-11-14 08:33:00+00:00
48,F1,"Soak it in, @GeorgeRussell63 😁

#BrazilGP #F1 @MercedesAMGF1 https://t.co/M2yyOd2424",12406,638,2022-11-14 01:03:41+00:00
49,F1,"""Mamma mia"" 😁

After a tough start to the weekend and an eventful race for Charles Leclerc, @ScuderiaFerrari left Sao Paulo with a big haul of points

#BrazilGP #F1 https://t.co/idk2cWCBeU",5621,402,2022-11-14 00:27:22+00:00
50,F1,"Danny Ric gets a three-place grid drop for Abu Dhabi

#BrazilGP #F1 

https://t.co/OlnB4Mkkhh",3150,150,2022-11-13 23:56:00+00:00
